STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/13/1999,40,49,31
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/14/1999,36,40,32
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/15/1999,39,45,32
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/16/1999,42,53,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/17/1999,55,74,36
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/18/1999,58,70,45
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/19/1999,44,52,35
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/20/1999,41,54,28
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/21/1999,41,46,35
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/22/1999,43,50,35
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/23/1999,42,55,28
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/24/1999,49,56,42
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/25/1999,43,53,33
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/26/1999,41,50,32
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/27/1999,40,51,29
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/28/1999,49,58,40
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/29/1999,54,69,38
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/30/1999,51,65,37
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3/31/1999,52,71,32
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/1/1999,56,59,52
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/2/1999,60,69,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/3/1999,56,65,46
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/4/1999,63,77,48
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/5/1999,48,58,38
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/6/1999,46,60,32
